#,Game,Date,Price,Review,Owners,Playtime,Developer,Publisher,Month
188,New World,28-Sep-21,15.99,70,75000000,00:00 (00:00),Amazon Games,Amazon Games,9
927,Valheim,2-Feb-21,11.99,0,35000000,00:00 (00:00),Iron Gate AB,Coffee Stain Publishing,2
681,Halo Infinite,15-Nov-21,0,0,15000000,00:00 (00:00),343 Industries,Xbox Game Studios,11
917,Battlefield 2042,19-Nov-21,14.99,0,15000000,05:23 (07:22),DICE,Electronic Arts,11
5,It Takes Two,25-Mar-21,15.99,89,7500000,00:00 (00:00),Hazelight,Electronic Arts,3
680,World of Tanks,28-Apr-21,0,0,7500000,03:44 (01:52),Wargaming Group Limited,Wargaming Group Limited,4
925,NARAKA: BLADEPOINT,11-Aug-21,19.99,0,7500000,09:20 (04:40),24 Entertainment,NetEase Games Global,8
20,Football Manager 2022,9-Nov-21,0,85,3500000,00:00 (00:00),Sports Interactive,SEGA,11
27,Tales of Arise,9-Sep-21,23.99,84,3500000,00:00 (00:00),Bandai Namco Studios Inc.,Bandai Namco Entertainment,9
44,Resident Evil Village,6-May-21,19.99,83,3500000,00:00 (00:00),"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",5
76,Age of Empires IV: Anniversary Edition,28-Oct-21,19.99,81,3500000,00:00 (00:00),"Relic Entertainment, World's Edge",Xbox Game Studios,10
96,Hell Let Loose,27-Jul-21,29.24,79,3500000,01:53 (00:56),Team17,Team17,7
672,Century: Age of Ashes,2-Dec-21,0,0,3500000,00:00 (00:00),Playwing LTD,Playwing LTD,12
674,Bless Unleashed,6-Aug-21,0,0,3500000,00:00 (00:00),VALOFE,VALOFE,8
676,封灵档案,21-Mar,0,0,3500000,00:00 (00:00),（Hong Kong）GKD,（Hong Kong）GKD,3
678,Russian Fishing 4,10-Nov-21,0,0,3500000,00:00 (00:00),"FishSoft, LLC","FishSoft, LLC",11
723,Capcom Arcade Stadium,24-May-21,10,0,3500000,03:31 (01:45),"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",5
862,Orcs Must Die! 3,23-Jul-21,11.99,0,3500000,00:00 (00:00),Robot Entertainment,Robot Entertainment,7
909,Poppy Playtime,12-Oct-21,0,0,3500000,00:07 (00:03),Mob Entertainment,Mob Entertainment,10
912,Cookie Clicker,1-Sep-21,2.99,0,3500000,00:00 (00:00),"Orteil, DashNet",Playsaurus,9
913,DEVOUR,28-Jan-21,3.99,0,3500000,00:00 (00:00),Straight Back Games,Straight Back Games,1
914,Days Gone,17-May-21,16.49,0,3500000,00:00 (00:00),Bend Studio,PlayStation PC LLC,5
915,Dyson Sphere Program,20-Jan-21,15.99,0,3500000,00:00 (00:00),Youthcat Studio,Gamera Games,1
916,Subnautica: Below Zero,13-May-21,9.89,0,3500000,00:00 (00:00),Unknown Worlds Entertainment,Unknown Worlds Entertainment,5
918,Stumble Guys,7-Oct-21,0,0,3500000,00:00 (00:00),Scopely,Scopely,10
919,Gunfire Reborn,17-Nov-21,12.99,0,3500000,00:00 (00:00),Duoyi Games,Duoyi Games,11
920,Inscryption,19-Oct-21,11.99,0,3500000,00:00 (00:00),Daniel Mullins Games,Devolver Digital,10
921,FIFA 22,1-Oct-21,0,0,3500000,00:00 (00:00),EA Canada & EA Romania,Electronic Arts,10
